,season,most_importance_feature,site
0,1,N0_lag1,2
1,1,NO2_lag1,8
2,1,NOx_lag1,1
3,1,O3_lag1,6
4,1,PM10_lag1,5
5,1,SO2_lag1,16
6,1,humidity_lag1,5
7,1,pressure_lag1,12
8,1,temperature_lag1,3
9,1,wind_E_lag1,1
10,1,wind_N_lag1,1
11,2,NO2_lag1,5
12,2,NOx_lag1,1
13,2,O3_lag1,8
14,2,PM10_lag1,1
15,2,SO2_lag1,4
16,2,pressure_lag1,6
17,2,temperature_lag1,2
18,2,wind_W_lag1,1
19,3,CO_lag1,1
20,3,N0_lag1,4
21,3,NO2_lag1,10
22,3,O3_lag1,3
23,3,PM10_lag1,4
24,3,SO2_lag1,26
25,3,humidity_lag1,2
26,3,pressure_lag1,8
27,3,temperature_lag1,6
28,3,wind_S_lag1,1
29,4,N0_lag1,2
30,4,NO2_lag1,9
31,4,O3_lag1,2
32,4,PM10_lag1,7
33,4,SO2_lag1,18
34,4,humidity_lag1,1
35,4,pressure_lag1,12
36,4,temperature_lag1,9
37,4,wind_N_lag1,1
38,4,wind_W_lag1,2
